"","playerid","pitcher_hand","pitch_type","spin_rate","ab_result","action_result","adj_h"
"2184",2850,"R","CU",3099.9109,"K","C",0
"2185",2850,"R","CU",3165.9221,"\N","B",0
"2186",2850,"R","CU",3182.1731,"\N","F",0
"2187",2850,"R","CU",3065.2871,"\N","F",0
"2188",5829,"R","CU",3002.3491,"\N","C",0
"2189",2850,"R","CU",3195.2529,"\N","B",0
"2190",2850,"R","CU",3065.5439,"HR","X",0.98
"2191",6222,"R","CU",3000.3521,"\N","B",0
"2192",2850,"R","CU",3068.6021,"\N","F",0
"2193",2850,"R","CU",3171.71,"\N","C",0
"2194",2850,"R","CU",3206.0481,"\N","F",0
"2195",2850,"R","CU",3024.9939,"\N","B",0
"2196",2850,"R","CU",3066.2029,"\N","F",0
"2197",2850,"R","CU",3388.7141,"\N","B",0
"2198",1868,"R","CU",3087.823,"\N","B",0
"2199",2850,"R","CU",3042.8911,"O","X",0.23
"2200",2850,"R","CU",3189.01,"\N","C",0
"2201",1868,"R","CU",3057.396,"K","S",0
"2202",2850,"R","CU",3229.6799,"K","S",0
"2203",2850,"R","CU",3152.3049,"\N","S",0
"2204",5829,"R","CU",3030.374,"\N","S",0
"2205",2850,"R","CU",3143.6421,"\N","B",0
"2206",5829,"R","CU",3070.6331,"\N","S",0
"2207",2850,"R","CU",3049.3279,"O","X",0.11
"2208",2850,"R","CU",3018.2209,"\N","C",0
"2209",2850,"R","CU",3177.8259,"\N","B",0
"2210",2850,"R","CU",3139.623,"\N","F",0
"2211",2850,"R","CU",3180.2729,"O","X",0
"2212",2850,"R","CU",3135.283,"\N","B",0
"2213",2850,"R","CU",3270.5591,"\N","F",0
"2214",2850,"R","CU",3060.1201,"K","S",0
"2215",2850,"R","CU",3055.6589,"\N","S",0
"2216",2850,"R","CU",3114.8811,"\N","B",0
"2217",2850,"R","CU",3078.1841,"\N","F",0
"2218",2850,"R","CU",3116.1699,"\N","B",0
"2219",2850,"R","CU",3041.0859,"\N","C",0
"2220",2850,"R","CU",3110.791,"\N","S",0
"2221",2850,"R","CU",3226.218,"\N","S",0
"2222",2850,"R","CU",3237.2781,"\N","B",0
"2223",2850,"R","CU",3042.075,"K","S",0
