,ID,NElive,NEdir,USdir,sad_18,nerve_18,rest_18,hope_18,effort_18,worth_18,ohom,ohom_ot,home,home_ot,live10m,income_18,fs5,fina,Marr10m,resi,rurb,adults,kids_18,empl1_13,empl2_13,empl3_13,empl4_13,empl5_13,empl6_13,empl7_13,empl8_13,empl9_13,empl_ot_13,born1,hisp1,race_1,race_2,race_3,race_4,race_5,race_6,race_ot,sexr_18,sexr_18_ot,sexorien,lgbfriend,degr,jsat,whrs,part,part_ot,poli,poli_ot,vote16,vote16_ot,relgaffil,relgaffil_ot,ratt,relginflu,IMG7_A,IMG7_B,IMG7_C,IMG7_D,IMG7_E,IMG7_F,EMPL,racecat,agyr,scwell,smoke,rzipcod,Comments7,Pwate
735,820046,1,1,2,5,5,5,5,5,5,1,,1,,65,1,5,3,4,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,PRN,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,2,2,NA,4,HUMAN WHO DESERVES RIGHT THING FOR RIGHT REASON.,6,DO THE RIGHT THING FOR THE RIGHT REASON.,3,DO NOT SHARE,6,CHRISTIAN,6,1,250,0,0,0,250,3,9,1,52,2,2,68037,,0.408487033
736,820177,1,1,1,3,3,3,3,3,3,2,,1,,36,6,3,4,1,1,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,2,1,41,2,,4,,2,,2,,2,2,20,15,0,20,NA,NA,1,1,82,2,1,68128,,1.432723674
737,860433,5,2,2,2,1,2,2,3,2,2,,1,,28,5,1,5,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,4,NA,NA,2,,NA,,4,,NA,CHRISTIAN,3,1,1,1,0,2,2,30,8,1,90,4,2,68701,,1.564837734
738,860329,1,1,1,5,3,3,5,5,5,2,,1,,4,7,5,2,1,1,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,1,,1,2,5,1,43,2,,4,,2,,2,,8,3,2,0,0,2,0,NA,1,1,55,4,2,68505,,0.939847684
739,820393,2,2,2,4,4,4,5,3,5,NA,RETIREMENT,4,,90,6,4,3,1,1,3,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,2,3,0,2,,5,,2,,2,,2,3,0,0,0,0,0,60,5,1,28,3,2,NA,,0.373650902
740,860520,1,1,1,5,3,4,5,5,5,2,,1,,9,9,5,2,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,5,2,45,3,,3,,1,,1,,4,3,15,2,2,12,5,20,1,1,83,1,2,68856,,1.564837734
741,810401,1,1,3,5,3,5,5,4,5,3,,4,,4,1,4,4,2,2,3,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,3,3,39,2,,4,,2,,1,,5,4,2,0,0,30,5,6,1,1,96,2,2,68521,,1.948423827
742,820431,3,3,3,5,5,5,5,5,5,1,,1,,NA,5,5,2,4,NA,1,1,0,NA,NA,NA,NA,1,NA,1,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,2,NA,25,1,,3,,1,,2,,2,3,0,0,0,0,10,50,5,1,30,2,2,68730,,0.308496048
743,850445,2,1,1,5,5,5,5,5,5,1,,1,,60,4,4,3,3,1,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,3,3,60,2,,4,,2,,2,,3,3,0,0,0,0,0,52,1,1,52,2,1,68801,,0.373650902
744,830291,1,1,2,4,5,5,5,2,5,3,,1,,19,7,3,4,1,1,3,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,1,2,2,41,2,,3,,2,,1,,5,3,3,2,0,1,3,6,1,1,62,2,2,68410,,1.399954493
745,840380,2,2,2,5,5,5,5,5,5,2,,1,,59,8,5,2,2,1,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,2,1,3,2,40,1,,3,,1,,2,,5,4,1,2,0,4,4,10,1,1,59,2,1,68521,,0.469923842
746,830489,1,1,2,5,5,5,5,5,5,3,,4,,3,3,2,3,3,1,3,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,4,NA,0,1,,1,,1,,1,,8,1,0,0,0,0,0,0,5,1,35,3,2,68801,,0.308496048
747,850282,1,1,2,5,5,5,5,5,5,1,,1,,96,6,5,1,1,1,3,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,3,2,0,2,,4,,NA,VOTED SECRET BALLOT,1,,5,1,0,0,0,0,0,0,5,1,22,3,2,68420,,0.451296257
748,820594,2,3,3,5,5,5,5,5,5,2,,1,,37,7,5,2,1,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,1,3,1,40,2,,4,,2,,1,,5,1,10,12,0,0,6,12,1,1,65,1,2,69358,,0.386469672
749,820540,4,2,2,3,3,3,3,3,5,1,,1,,55,4,1,4,1,1,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,1,NA,NA,,2,,1,1,2,1,45,3,,3,,1,,6,FOLLOWER OF JESUS,8,1,1,1,4,2,2,0,1,4,63,2,1,69001,,1.159409017
750,810199,3,3,2,3,3,2,2,2,3,2,,1,,4,7,5,2,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,5,4,45,1,,2,,1,,5,,7,5,3,0,0,0,3,0,1,1,84,3,2,68134,,3.274274105
751,850050,2,3,2,5,5,4,5,1,5,2,,1,,18,7,2,4,1,1,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,5,4,40,2,,3,,2,,2,,2,3,0,0,0,0,0,52,1,1,62,2,2,68065,,0.939847684
752,810514,1,NA,3,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.308496048
753,840009,2,3,2,5,5,4,5,5,5,2,,3,,32,8,5,2,1,1,3,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,VOLUNTEER,2,2,1,NA,NA,NA,NA,NA,,1,,1,2,5,NA,NA,3,,4,,2,,1,,8,2,1,0,0,2,52,0,5,1,46,3,2,68005,,0.219858383
754,860410,2,3,3,5,5,5,4,5,5,1,,1,,74,1,2,3,1,1,3,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,2,NA,NA,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,68601,,2.899474537
755,840044,1,1,3,5,5,5,5,5,5,2,,1,,NA,6,5,2,4,1,2,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,2,2,NA,1,,3,,1,,1,,8,4,0,0,0,0,0,0,5,1,32,2,2,68028,,0.219858383
756,830580,1,3,2,5,3,5,5,4,5,3,,3,,0,8,4,2,1,2,3,2,3,NA,NA,NA,NA,NA,1,1,NA,NA,,2,2,1,NA,NA,1,NA,NA,,2,,1,1,NA,NA,NA,3,AMERICA SHOULD GET RID OF THE PARTY SYSTEM. I CAN'T V,3,,2,,1,,4,2,2,0,0,5,5,20,6,4,90,1,2,69301,,1.564837734
757,850461,1,3,2,5,5,5,5,5,5,1,,1,,45,NA,5,3,1,1,1,2,0,1,NA,NA,NA,NA,NA,1,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,3,2,40,2,,3,,NA,NONE OF YOUR BUSINESS,1,,7,3,20,1,0,2,2,3,1,1,52,2,2,68824,,0.616992096
